,FIPS,State,County,total_votes,GOP,DEM,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Unemployed
0,20143,KS,Ottawa,3159,2581,504,119,0,5957,3118,2839,161,5617,48,12,12,0,4517,51797,578,1001,2073,947,1352,757,828,4641,596,18,161,113,423,23.7,3002,4146,876,917,24,3.3,19658
1,12111,FL,St. Lucie,172130,86825,84115,9179,336,298763,146025,152738,54076,175075,57362,598,5676,299,217389,47132,49595,73496,82160,69313,82459,35254,29578,235425,36748,1494,3585,7768,13743,27.6,122153,246181,34657,17627,299,7.6,2270599
2,53035,WA,Kitsap,156733,61204,89812,1575,22,258903,132104,126799,18900,200391,6473,2330,12168,1812,199599,68336,25631,31327,100713,48674,55146,26926,27185,177866,20971,24078,13204,6990,15793,30.3,112032,168287,72493,17605,518,5.7,1475747
3,51167,VA,Russell,13368,10879,2373,527,8,27725,13563,14162,360,26838,250,0,28,0,22169,40083,4880,6377,8817,4048,6626,4020,4242,24259,1913,0,388,194,970,28.1,10120,20350,5795,1525,83,6.8,188530
4,36075,NY,Oswego,44546,28914,14677,648,4,119833,60028,59805,2996,113003,959,120,719,0,93177,51755,21929,34512,34991,24446,27562,14500,18334,97544,10665,1078,4913,1438,4074,24.8,53211,91193,22169,6231,240,8.6,1030564
5,31067,NE,Gage,11068,7445,3385,600,5,21632,10816,10816,498,20550,130,87,130,43,16736,52223,1969,2271,7203,3353,4521,2271,4283,17068,2639,22,671,195,1038,19.8,11118,16029,3483,2098,22,3.2,69222
6,6051,CA,Mono,6713,2504,3998,194,2,14058,7433,6625,3810,9292,56,309,281,0,9286,60595,1392,1687,5201,4260,2530,1026,1026,6298,984,2769,1560,1139,1307,16.1,7864,10572,2151,1167,169,3.6,50609
7,5003,AR,Ashley,7926,5548,2125,573,11,20771,10126,10645,1080,14124,5317,42,0,0,15544,36407,4424,6730,5712,3490,3926,2846,4777,17676,1620,42,478,623,332,20.4,7905,16368,3760,561,83,9.9,205633
8,26159,MI,Van Buren,39060,21591,16800,1222,20,75190,37397,37793,8421,61280,2331,301,451,75,55052,49119,11880,16993,21730,14286,16015,9248,13985,61355,7745,226,2181,602,3083,24.4,33499,61355,8722,5038,75,6.6,496254
9,27117,MN,Pipestone,4932,3553,1306,390,17,9229,4481,4748,545,8260,111,74,83,0,6623,48909,1089,1477,2796,1403,1846,1347,1837,6940,1107,74,360,138,609,20.1,4328,7143,1071,997,9,4.2,38762
10,18043,IN,Floyd,41742,23385,17507,2032,69,76481,37092,39389,2371,67533,3977,306,841,0,58027,59451,8260,11396,28069,11090,19197,6195,11931,65850,5966,688,765,229,2983,22.6,38137,65697,7572,3136,76,5.1,390053
11,48385,TX,Real,1982,1643,320,126,8,3358,1553,1805,665,2686,7,0,0,0,2579,36493,678,1128,970,792,997,457,144,2102,467,0,238,168,383,16.3,1281,2465,359,534,0,6.1,20484
12,31109,NE,Lancaster,153687,68952,81131,9653,45,306357,153788,152569,20526,251519,11948,1225,12867,306,224251,55747,42890,47792,122543,52387,73219,23589,34618,250600,26959,3676,8884,5821,10110,18.8,166689,238346,54532,12867,306,3.9,1194792
13,48177,TX,Gonzales,7534,5568,1894,1133,20,20558,10400,10158,10300,8696,1377,21,41,0,12811,47516,3536,5140,4009,3700,4687,3433,4728,15891,3043,267,473,267,637,22.3,8939,15747,3043,1727,62,5.1,104846
14,51027,VA,Buchanan,9942,8311,1587,276,4,22611,11378,11233,68,21571,633,113,113,0,18471,30828,5992,9519,5856,3618,5223,4680,3211,19694,1696,136,407,475,203,27.7,6679,17704,3980,927,0,8.6,194455
15,18159,IN,Tipton,8124,6110,1834,304,23,15290,7632,7658,398,14571,31,0,0,61,11962,53931,1437,2875,4939,2416,2523,2110,3303,12981,1346,46,199,291,413,23.7,7430,12507,2141,612,31,3.8,58102
16,48491,TX,Williamson,287696,138649,142457,9588,156,508313,250106,258207,122503,309563,30499,1017,30499,508,342928,79123,35582,42698,231791,70656,129112,37615,39140,408175,46256,4067,4575,6100,39140,27.9,254840,401567,73705,32532,508,4.8,2439902
17,26019,MI,Benzie,12259,6600,5480,145,2,17462,8694,8768,419,16397,52,244,70,0,14050,53185,1746,2235,5413,3580,3999,2340,2130,13254,2340,210,314,262,1065,26.2,7679,13638,2584,1205,35,6.5,113503
18,18055,IN,Greene,14782,11103,3389,636,40,32431,16040,16391,422,31393,65,0,130,0,25096,49648,4184,5157,9502,6065,7265,3957,5643,28864,2530,32,454,324,227,28.7,14248,24323,6162,1913,32,6.2,201072
19,31041,NE,Custer,5877,4996,768,250,5,10836,5357,5479,314,10294,87,0,87,0,8175,48836,1289,1723,3554,2113,2048,1690,1420,8062,1127,0,498,195,954,16.2,5636,7845,1365,1582,43,2.5,27090
20,17123,IL,Marshall,6343,4196,2004,174,3,11925,5938,5987,370,11317,48,12,36,24,9433,55173,1228,1813,3506,2313,2421,1359,2325,9874,1169,0,322,131,429,27.7,5514,9838,1181,859,36,6.2,73935
21,27067,MN,Kandiyohi,23313,14437,8440,1921,5,42577,21398,21179,5067,34828,1788,85,341,0,30521,56604,4811,7110,14221,7238,8899,5322,6897,35807,3193,341,809,639,1788,17.9,21874,33806,5833,2725,213,3,127731
22,19109,IA,Kossuth,9077,6275,2696,519,0,15166,7598,7568,334,14484,121,15,91,0,11763,54868,1517,2138,5323,2047,3291,1790,2715,12497,834,121,622,258,864,14.7,7646,11329,1790,2002,30,2.1,31849
23,28023,MS,Clarke,8277,5372,2815,791,53,16089,7575,8514,145,10200,5647,16,0,0,12397,37626,2976,4360,4215,2671,3379,3266,2574,13370,1512,0,467,450,290,32,6137,12710,2413,917,48,9.1,146410
24,1109,AL,Pike,13796,8020,5613,1385,14,33287,15897,17390,266,18774,12616,200,732,0,25869,35684,8754,11451,10485,5392,8122,2963,6291,28161,2630,0,732,266,1531,20.4,14352,25331,6058,1864,67,8.7,289597
25,13151,GA,Henry,122742,48187,73276,6395,114,217506,104175,113331,14138,101575,88525,218,7178,0,153050,64752,24796,35888,72865,34366,58509,19576,31973,176180,21316,2175,1088,2610,14138,33.6,100413,167697,39804,9788,218,7.7,1674796
26,48271,TX,Kinney,1603,1144,446,79,1,3631,2234,1397,2244,1383,4,0,0,0,2567,34926,385,301,879,1402,389,784,178,2956,160,44,4,203,265,18.7,1351,2055,1296,280,0,8.1,29411
27,16049,ID,Idaho,9602,7826,1561,380,1,16275,8509,7766,521,14859,16,472,49,16,12979,40299,2197,2506,4411,2799,3646,2816,2604,11230,1969,98,1335,244,1400,17.4,6321,10595,3760,1855,65,5.4,87885
28,13133,GA,Greene,11247,7068,4088,584,25,16732,8142,8590,1021,9437,5990,17,167,0,12969,45069,3664,5789,4635,4066,4283,1305,2443,13118,1506,67,134,703,1205,26.4,6122,13051,2577,1071,33,6.5,108758
29,28161,MS,Yalobusha,6506,3658,2767,578,18,12426,6101,6325,186,7244,4933,25,25,0,9537,37647,2808,3616,2696,2013,2535,1441,3740,10922,1379,12,50,50,25,25.4,5274,9643,2311,472,0,5.3,65858
30,49049,UT,Utah,269877,183008,72324,30400,83,576496,290874,285622,65721,478492,2882,2306,8647,4612,352481,67042,68027,59956,236363,87627,152771,43814,57073,421995,68027,11530,23636,13259,38625,21.4,257679,483104,65721,26519,1153,4.3,2478933
31,29087,MO,Holt,2344,1976,338,127,1,4499,2239,2260,18,4337,13,72,18,0,3616,43981,540,553,1575,706,909,603,706,3523,634,13,153,40,139,20.7,2119,3293,657,526,22,4.2,18896
32,5015,AR,Carroll,11639,7352,3941,1049,19,27782,13634,14148,4112,22392,139,167,278,167,20196,39686,4362,6529,7640,5140,5584,3112,6307,22281,2917,0,1056,139,1389,19.8,11400,21559,3667,2528,28,5.1,141688
33,21147,KY,McCreary,6435,5664,725,266,1,17748,9710,8038,603,15920,958,53,35,0,13651,19264,7277,8785,3976,3656,4082,2201,3851,14926,1633,18,355,657,177,28.2,4493,13276,3124,1278,89,15.8,280418
34,31103,NE,Keya Paha,529,476,49,9,0,720,368,352,8,704,1,0,1,0,575,48864,55,96,348,79,120,145,29,403,45,0,55,12,204,18.8,428,399,93,229,0,1.2,864
35,29013,MO,Bates,8435,6595,1672,271,8,16405,8010,8395,345,15503,197,66,33,16,12386,45605,2346,3150,4446,3297,3429,2641,2608,12238,2083,98,492,164,1329,30.1,7261,12222,2231,1903,49,5.2,85306
36,36093,NY,Schenectady,60591,27544,31685,1622,50,155239,75537,79702,10401,114566,14903,310,7141,0,116371,61315,19250,30582,59146,29651,40207,10401,15834,126365,11488,6054,4502,2018,4812,22.9,73044,118758,29806,6675,0,7.3,1133245
37,17139,IL,Moultrie,6698,4938,1645,496,6,14711,7173,7538,177,14270,88,29,29,0,10936,53979,1780,2619,4266,2089,3089,1383,3884,11622,1221,0,368,618,868,22.3,6993,12078,1412,1177,44,3,44133
38,27089,MN,Marshall,5101,3721,1295,187,1,9397,4761,4636,395,8805,28,19,28,0,7152,57289,733,742,3063,1334,1955,1259,1785,7414,818,28,273,122,752,23.3,4832,7311,1203,855,19,3.2,30070
39,37039,NC,Cherokee,16341,12568,3563,782,15,27463,13483,13980,824,25129,384,330,192,0,22344,38115,4614,6756,8266,5355,7031,3158,3653,22410,1730,82,851,494,1895,24.6,9925,21256,3460,2691,55,7.7,211465
40,49001,UT,Beaver,3076,2673,356,0,0,6414,3296,3118,699,5689,0,6,13,0,4165,47878,673,1013,1533,1199,1610,1020,1052,5144,802,13,167,64,218,16,2653,4945,1065,372,32,4.7,30146
41,8075,CO,Logan,10411,7987,2201,1321,13,21885,11723,10162,3392,17092,241,153,219,0,16575,44876,3677,5165,6369,4683,4552,3436,2845,16567,2626,109,1269,153,1160,19.2,10390,15538,4246,2057,44,6.2,135687
