FIPS,State,County,total_votes20,GOP,DEM,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
20143,KS,Ottawa,3159,2581,504,119,0,5957,3118,2839,2.7,94.3,0.8,0.2,0.2,0,4517,51797,9.7,16.8,34.8,15.9,22.7,12.7,13.9,77.9,10,0.3,2.7,1.9,7.1,23.7,3002,69.6,14.7,15.4,0.4,3.3
12111,FL,St. Lucie,172130,86825,84115,9179,336,298763,146025,152738,18.1,58.6,19.2,0.2,1.9,0.1,217389,47132,16.6,24.6,27.5,23.2,27.6,11.8,9.9,78.8,12.3,0.5,1.2,2.6,4.6,27.6,122153,82.4,11.6,5.9,0.1,7.6
53035,WA,Kitsap,156733,61204,89812,1575,22,258903,132104,126799,7.3,77.4,2.5,0.9,4.7,0.7,199599,68336,9.9,12.1,38.9,18.8,21.3,10.4,10.5,68.7,8.1,9.3,5.1,2.7,6.1,30.3,112032,65,28,6.8,0.2,5.7
51167,VA,Russell,13368,10879,2373,527,8,27725,13563,14162,1.3,96.8,0.9,0,0.1,0,22169,40083,17.6,23,31.8,14.6,23.9,14.5,15.3,87.5,6.9,0,1.4,0.7,3.5,28.1,10120,73.4,20.9,5.5,0.3,6.8
36075,NY,Oswego,44546,28914,14677,648,4,119833,60028,59805,2.5,94.3,0.8,0.1,0.6,0,93177,51755,18.3,28.8,29.2,20.4,23,12.1,15.3,81.4,8.9,0.9,4.1,1.2,3.4,24.8,53211,76.1,18.5,5.2,0.2,8.6
31067,NE,Gage,11068,7445,3385,600,5,21632,10816,10816,2.3,95,0.6,0.4,0.6,0.2,16736,52223,9.1,10.5,33.3,15.5,20.9,10.5,19.8,78.9,12.2,0.1,3.1,0.9,4.8,19.8,11118,74.1,16.1,9.7,0.1,3.2
6051,CA,Mono,6713,2504,3998,194,2,14058,7433,6625,27.1,66.1,0.4,2.2,2,0,9286,60595,9.9,12,37,30.3,18,7.3,7.3,44.8,7,19.7,11.1,8.1,9.3,16.1,7864,75.2,15.3,8.3,1.2,3.6
5003,AR,Ashley,7926,5548,2125,573,11,20771,10126,10645,5.2,68,25.6,0.2,0,0,15544,36407,21.3,32.4,27.5,16.8,18.9,13.7,23,85.1,7.8,0.2,2.3,3,1.6,20.4,7905,78.8,18.1,2.7,0.4,9.9
26159,MI,Van Buren,39060,21591,16800,1222,20,75190,37397,37793,11.2,81.5,3.1,0.4,0.6,0.1,55052,49119,15.8,22.6,28.9,19,21.3,12.3,18.6,81.6,10.3,0.3,2.9,0.8,4.1,24.4,33499,81.6,11.6,6.7,0.1,6.6
27117,MN,Pipestone,4932,3553,1306,390,17,9229,4481,4748,5.9,89.5,1.2,0.8,0.9,0,6623,48909,11.8,16,30.3,15.2,20,14.6,19.9,75.2,12,0.8,3.9,1.5,6.6,20.1,4328,77.4,11.6,10.8,0.1,4.2
